sample	population	mid_latitude	mid_longitude
CCGPMC013_BKAC097_S134_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKAC098_S133_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKAC099_S132_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKAC100_S131_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKAC101_S130_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKAC102_S129_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA109_S92_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA110_S91_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA111_S90_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA112_S89_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA113_S88_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKMA114_S87_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKSL103_S128_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC013_BKSL104_S127_L001	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKSL105_S96_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKSL106_S95_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKSL107_S94_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BKSL108_S93_L002	Baker Creek	37.16780111	-118.4714331
CCGPMC014_BP26119_S83_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP40122_S82_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP4N130_S75_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP4N131_S74_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP4N132_S73_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP6L135_S70_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BP6L136_S69_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPA7137_S68_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPA7138_S67_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPA7139_S66_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPBL126_S79_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPBL127_S78_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPKA115_S86_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPKA116_S85_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPKA118_S84_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPPB124_S81_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPPB125_S80_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPML140_S65_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPML141_S64_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPML142_S63_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPSM133_S72_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPSM134_S71_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPUS128_S77_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC014_BPUS129_S76_L002	Big Pine Creek	37.128625	-118.4870416
CCGPMC015_GRSA171_S253_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA172_S252_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA173_S251_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA174_S250_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA175_S249_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA176_S248_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA177_S247_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC015_GRSA178_S246_L003	Mendocino Coast	38.74905556	-123.5191944
CCGPMC014_MOFM008_S53_L002	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOFM009_S163_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOFM010_S162_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOFM011_S161_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOFZ004_S165_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOFZ005_S164_L001	Modoc County	41.35091217	-120.2966162
CCGPMC014_MOFZ006_S54_L002	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOPC001_S172_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOPC002_S171_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_MOPC003_S170_L001	Modoc County	41.35091217	-120.2966162
CCGPMC013_NFAL046_S179_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFAL047_S178_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFAP048_S177_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFAP049_S176_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_GLLX040_S185_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_GLLX041_S184_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFCG038_S187_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFCG039_S186_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFRS044_S181_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFRS045_S180_L001	North Bishop Creek	37.21759722	-118.6475722
CCGPMC013_NFUB042_S183_L001	North Bishop Creek	37.21759722	-118.6475722
