population	elevation	growtemp_mean	airtemp_min	airtemp_max	airtemp_range	airtemp_mean	airhumid_min	airhumid_max	airhumid_range	airhumid_mean	snowmelt_max	snowmelt_mean	snowfall_max	snowfall_range	snowfall_mean	snowdep_max	snowdep_range	snowdep_mean	snowlength	soiltemp_min	soiltemp_max	soiltemp_mean	soiltemp_range	soilmoist_min	soilmoist_max	soilmoist_range
Tuttle Creek	3012	15.59081657	-7.353829804	17.02646087	24.38029067	3.123760045	24.36141066	46.40928359	22.04787293	34.55229543	9.36e-5	1.72e-5	0.136352229	0.136352229	0.02129428	65.59330716	65.59330716	18.52569447	191	0.218070136	20.32643137	7.038707602	20.10836123	0.096738406	0.290931517	0.194193111
Taboose Pass	3321	13.46409461	-9.71564697	14.98383062	24.69947759	0.495311533	31.54649606	58.3569772	26.81048114	44.20918948	1.44493e-4	2.5e-5	0.19228092	0.19228092	0.031452495	137.5103242	137.5103242	47.40172084	251	-0.155280352	17.83778777	5.136681119	17.99306812	0.104588802	0.298294192	0.19370539
Big Pine Creek	3142.5	15.28722984	-8.273851492	16.82439353	25.09824502	2.082776513	28.51218365	54.25606198	25.74387833	40.82696831	1.73563e-4	2.26e-5	0.170756072	0.170756072	0.028638775000000002	120.5409241	120.5409241	37.14544196	228	0.016493228	19.7175932	6.169969544	19.70109997	0.103248914	0.294449185	0.191200271
South Bishop Creek	3098	14.75695476	-8.56490673	16.36874672	24.93365345	1.669704198	29.27706459	57.15402543	27.87696085	41.28469651	1.16604e-4	2e-5	0.130990231	0.130990231	0.025447626	101.5186282	101.5186282	31.79020665	227	-0.033781113	19.18838213	5.898701462	19.22216324	0.106796467	0.290199173	0.183402706
Baker Creek	3119.5	15.44881942	-8.323949143	17.09661124	25.42056038	2.29445273	28.57097914	55.86771177	27.29673263	41.02221157	1.32668e-4	2.04e-5	0.145971417	0.145971417	0.025976018	108.8775064	108.8775064	32.99441733	221	0.138691694	20.14231277	6.404903406	20.00362108	0.104442539	0.289047659	0.184605119
Tyee Lakes	3191	14.85745039	-8.643807919	16.51597152	25.15977944	1.907710464	30.43163492	61.91167582	31.48004091	43.64316394	7.69e-5	1.25e-5	0.097633316	0.097633316	0.016154444	61.16460947	61.16460947	17.33811641	197	-0.359316519	19.82763591	6.35800232	20.18695243	0.098832056	0.283813245	0.184981189
North Bishop Creek	3131	15.34441011	-8.129131817	16.9258014	25.05493321	2.183820112	28.17046588	53.79368951	25.62322363	39.45444317	1.42857e-4	1.95e-5	0.153137086	0.153137086	0.024854451	96.42687662	96.42687662	29.98505599	221	0.037983557	19.90317843	6.377670506	19.86519487	0.101432709	0.288434788	0.187002079
Pine Creek	3057	17.39622552	-6.746920237	19.0062626	25.75318284	4.07943068	26.63052938	51.86759364	25.23706426	38.13607682	1.12685e-4	1.48e-5	0.097604452	0.097604452	0.018651071	59.15895248	59.15895248	16.62264416	196	0.136472358	22.01803857	7.757002463	21.88156621	0.097907271	0.282691607	0.184784335
Rock Creek	3030	15.56489945	-8.308804009	17.22682536	25.53562937	2.406282891	29.90646011	56.41892967	26.51246955	41.20945522	1.32746e-4	1.76e-5	0.102377347	0.102377347	0.022582999	90.67809313	90.67809313	27.18573417	219	0.160015456	20.27946134	6.621029578	20.11944588	0.101117727	0.286608101	0.185490374
White Mountains	2895	17.35932398	-7.226910601	19.15054989	26.37746049	4.52772748	31.11297737	68.81988109	37.70690372	47.10269832	3.83e-5	6.26e-6	0.063975053	0.063975053	0.008556149	17.60410408	17.60410408	4.196840466	143	-0.107955539	22.56506708	8.231150114	22.67302262	0.09503928	0.253904826	0.158865546
Mendocino Coast	12	15.88085735	6.074726304	16.61072722	10.53600092	11.42698888	66.20603438	79.80697102	13.60093664	72.6177551	7.26e-6	8.47e-8	0.010761019	0.010761019	1.8521e-4	0.151707054	0.151707054	0.002522535	0	5.928578745	21.16766815	13.28456029	15.23908941	0.094174017	0.256079941	0.161905923
Modoc County	1968	17.61970563	-7.60453383	20.35251608	27.95704991	4.413302954	31.44183781	73.63007057	42.18823277	54.66925273	8.48e-5	1.62e-5	0.078979152	0.078979152	0.020900582	52.79124297	52.79124297	15.13102584	189	0.35742036	23.25749191	7.642093402	22.90007155	0.099263954	0.292974787	0.193710833
